124593687, 18BN, 28
124638795, 19BC, 31
124863579, 19BW, 1
124968753, 26BS, 10
123895647, 12AH, 34
123689574, 07AA, 21
124976835, 28AA, 35
123865974, 11AI, 30
124597386, 19AA, 28
123854679, 09AT, 5
123569784, 04AG, 36
124789356, 22BD, 12
124689753, 21AK, 35
123478659, 01BO, 22
124975368, 26BQ, 8
124793856, 23BB, 31
125376498, 28BF, 10
125374698, 29AN, 25
123759648, 07BZ, 17
123687459, 06BH, 17
124738956, 20BY, 9
125369487, 29AU, 33
123957486, 11BD, 8
124596378, 16BO, 3
124539678, 15AI, 6
123586479, 04BJ, 32
124573986, 17AJ, 14
124753869, 21AO, 10
124983765, 28AQ, 38
124857396, 24AX, 25
125349768, 28BI, 24
124876395, 25AH, 15
123486957, 02AF, 18
124796853, 23AE, 12
123749865, 06AA, 3
123589647, 04BZ, 34
123578964, 03AJ, 8
123475896, 00BE, 9
123498657, 00AV, 1
123579846, 04BI, 39
123986547, 13AV, 8
123974658, 13BV, 36
123586974, 04BT, 37
123796584, 09BL, 25
124378659, 14BX, 9
124869357, 24BI, 11
125346897, 28AX, 25
123975864, 13BS, 26
124567389, 17BC, 30
124635987, 19AZ, 35
124937856, 25BX, 14
125364789, 28BU, 25
124367958, 14BY, 18
123649857, 05AD, 7
125374986, 29AG, 20
124867359, 23AL, 4
125376489, 29AF, 19
123589674, 03BX, 10
123497685, 02AR, 11
123876954, 11BF, 24
123849756, 10AN, 23
123948756, 12AY, 18
123769485, 06AF, 2
123574896, 02AB, 1
124589637, 18AL, 15
124679583, 20AX, 26
123964587, 13AG, 24
123978465, 13BO, 19
124687395, 20AZ, 19
124853976, 24AI, 22
124697583, 20BW, 16
123756498, 08AE, 24
124756398, 22AK, 30
123754968, 07BF, 12
123458796, 01AL, 36
125348796, 26BG, 1
124879563, 25BI, 29
124687953, 21AB, 31
123895476, 11BG, 18
124638759, 19BL, 38
124537689, 16BD, 18
124735698, 21AN, 19
124389576, 16AM, 25
124896537, 25AE, 8
124587369, 18BJ, 34
124563879, 17AE, 18
124673958, 19BS, 17
125376849, 27BB, 2
124983675, 28AH, 31
123695748, 06BM, 12
123675489, 05BN, 11
123648795, 03BF, 1
125349786, 28AO, 14
124759836, 21BK, 10
123684597, 06BV, 34
123875649, 11AN, 19
123475968, 01BK, 26
123598746, 04BO, 7
124873956, 24BZ, 14
124597368, 19AB, 29
124736859, 21AC, 12
123896574, 11BV, 23
124758963, 21AQ, 6
123798654, 09AI, 7
123684795, 06BZ, 35
123598647, 05AE, 16
124597683, 17BS, 6
123678459, 06BL, 36
123576498, 03BZ, 25
124386795, 15BC, 13
124583697, 18AW, 32
123789546, 09AH, 18
123948567, 12AX, 20
123758694, 08AP, 23
123579486, 04BE, 38
124678953, 20AI, 17
123879546, 10BW, 10
123586794, 04BL, 31
124367598, 15AC, 21
124385976, 16AF, 30
124967583, 25BV, 3
123457689, 00AI, 7
124538976, 16AR, 13
123978645, 13AX, 11
124657983, 18AD, 3
124367859, 15AQ, 31
123649587, 05AR, 16
123856497, 09AM, 3
124738965, 21BL, 25
123859647, 10BB, 18
124765398, 22AV, 23
123749685, 06BK, 8
124976538, 27BZ, 36
123895746, 12AL, 36
123857649, 10BR, 32
123654789, 05BO, 25
124356789, 12BK, 3
